,시,구,동,행정동코드,인구,남자,여자,geometry
0,서울특별시,종로구,사직동,11110530,9700,4375,5325,"MULTIPOLYGON (((126.9768888427482 37.57565077944879, 126.9770344988775 37.56919453005455, 126.9759747282125 37.56933629942576, 126.9753747099125 37.56931556702156, 126.9743319356233 37.56926180051753, 126.9690483700185 37.56819441770833, 126.9685449360338 37.56842767961276, 126.9666499598212 37.56949165520658, 126.9662817502448 37.5697007347987, 126.9660973270804 37.5698565097237, 126.9657285292258 37.57018393611511, 126.9659269982213 37.5703188056862, 126.9660109401843 37.57154839557748, 126.963659220522 37.57517466066037, 126.9630860043451 37.57648592001554, 126.962840990512 37.57666158609274, 126.9628104104726 37.57944880965677, 126.9674243158433 37.57960153712449, 126.9674217630265 37.57926352144165, 126.9674300601846 37.57919257799861, 126.9674570900956 37.57897525058544, 126.9680660469963 37.57824678046787, 126.9689551169548 37.57793526234029, 126.9692128429691 37.57793529930939, 126.9694145388658 37.57812112414218, 126.9696644266947 37.57853113668221, 126.9696672191487 37.57873620513492, 126.9696687735331 37.57899287900988, 126.9696694991036 37.5791125267496, 126.9699045736163 37.57930175362873, 126.9713519754476 37.57951327793981, 126.9738192578445 37.57937214030263, 126.9739173633834 37.57848707304101, 126.9739396199809 37.57824042997809, 126.9743315383576 37.57574990629986, 126.975803789978 37.5756494688242, 126.9768888427482 37.57565077944879)))"
1,서울특별시,종로구,삼청동,11110540,3013,1443,1570,"MULTIPOLYGON (((126.982689386493 37.5950655194224, 126.98337258457 37.59435192551688, 126.983868097928 37.59385046812643, 126.9840115836973 37.59375538189762, 126.9842734961909 37.59358183735348, 126.9846787672401 37.59333123147103, 126.9852253598527 37.5930571567418, 126.9852868081408 37.59302635633529, 126.9853287258072 37.59300572621492, 126.9857592771792 37.59279401160435, 126.9864798407838 37.59250646566559, 126.9875262282025 37.5922468001901, 126.9887608091341 37.59210400307575, 126.9891094507173 37.59195341550093, 126.9894757920867 37.5917950211998, 126.9890750481001 37.59139446162827, 126.9878984958088 37.5905567152052, 126.9862100279695 37.58901596665142, 126.9860138742825 37.58820164992094, 126.9860108742373 37.58802024141448, 126.9859569642824 37.58741835961283, 126.9857901289593 37.58707512222899, 126.9853371000307 37.58614589012119, 126.9849743622865 37.58563328549674, 126.9844653323453 37.58537368995111, 126.9837142178162 37.5849704355389, 126.9829183865103 37.58345832694683, 126.9828493159274 37.58322799314752, 126.982836207167 37.58285406704333, 126.982842104011 37.58271776362089, 126.9828648198948 37.58260632265811, 126.9829917870471 37.58205705864079, 126.9840346953684 37.57843370671978, 126.984639624275 37.577342343203, 126.9855331638257 37.576674025462, 126.984948844183 37.57633588036589, 126.9843447886809 37.5760645251064, 126.9831466523919 37.57552636292861, 126.9798390360508 37.57594335383953, 126.9795924891094 37.57597727455634, 126.9796057912844 37.57660704191863, 126.979617516159 37.57716144799568, 126.9796895403428 37.57860955110071, 126.9797411252997 37.57913143187454, 126.980028224962 37.580086995769, 126.9803037016248 37.58098617361973, 126.9794179389037 37.58590023032471, 126.9789736688563 37.58717817828867, 126.9788795757727 37.58727127731592, 126.9765668118176 37.58929695337157, 126.9761502251726 37.58954522797433, 126.9756933435133 37.58968403424009, 126.9736396597634 37.59259411899388, 126.9735872635534 37.5932890232807, 126.9758511377569 37.59656422224408, 126.9810580876733 37.59506510110588, 126.982689386493 37.5950655194224)))"
2,서울특별시,종로구,부암동,11110550,10525,5002,5523,"MULTIPOLYGON (((126.9758511377569 37.59656422224408, 126.9735872635534 37.5932890232807, 126.9719375264941 37.5938857822259, 126.9715476019638 37.59370130879074, 126.9698444131133 37.59347509519625, 126.9689248439463 37.59336392580813, 126.9688718922761 37.59336491426392, 126.9687789832648 37.59336665034412, 126.9687072740213 37.59341836116727, 126.9686423528942 37.59346518297949, 126.9685305986841 37.59350459936501, 126.9684720131749 37.59352525660245, 126.9681386529497 37.59361163575197, 126.9680439243682 37.59359205532072, 126.9664337494751 37.59293244072924, 126.9646881457353 37.59112072592575, 126.9645745138506 37.59097261926832, 126.964111613838 37.58998139049233, 126.9641376052684 37.58963500891115, 126.9641420421186 37.58958033196943, 126.9642400217167 37.5893430475863, 126.9642372441088 37.58913797948431, 126.9641159099608 37.5889785669954, 126.9634224872304 37.58814167454556, 126.9631738830229 37.58786338117127, 126.9622330053535 37.58698592219034, 126.9620363967875 37.58686814731631, 126.9619771439963 37.58683265456152, 126.9617106679302 37.58667821129155, 126.9605059752543 37.58626372501299, 126.9596821465636 37.58604476197731, 126.9594692987896 37.58601224045006, 126.9593112702535 37.58606121583168, 126.9591791236673 37.58610217226465, 126.958865149454 37.58595764505004, 126.9580484269533 37.58521114524583, 126.957804671329 37.58498834135819, 126.9577538691774 37.584868680012, 126.9578953246189 37.58381141046542, 126.9568940006547 37.58542010468457, 126.9571722339032 37.5864676031894, 126.9574735302318 37.58760184035394, 126.9579290613135 37.58879364348915, 126.9575146001883 37.59267208033364, 126.9572501681026 37.59314470375023, 126.9567657600107 37.5940105098196, 126.9564987063107 37.59470677017237, 126.956329141603 37.5951498224761, 126.9563125845426 37.59547761011785, 126.956309289704 37.59554294220439, 126.9563034580664 37.59566236563108, 126.9566126544457 37.59653656214865, 126.9569540128279 37.59762350150384, 126.9569833922861 37.59771780881644, 126.9570418857109 37.59790557493377, 126.9571456362435 37.59824292846682, 126.9571353789436 37.59838709587642, 126.957100419579 37.59845887110827, 126.9570548804556 37.59855234702035, 126.9569671211288 37.59861381582601, 126.9568833626137 37.59863292191683, 126.9567312084226 37.59866465188733, 126.9563510378744 37.5986606479587, 126.9562140547738 37.59859548988152, 126.9561238430308 37.5985525669517, 126.9561270983189 37.59851621283899, 126.9561323141599 37.59845796517131, 126.9555175721675 37.59848329764554, 126.9540932631613 37.59855107881121, 126.9539741538578 37.59866633211085, 126.9539356713675 37.5987035777452, 126.9538258579366 37.59881010385266, 126.9535085397932 37.59911847091431, 126.9527493088157 37.60040612359548, 126.9527627115309 37.60128120722582, 126.9527652458912 37.60144420027711, 126.9527771863469 37.60220668152909, 126.9527796388438 37.60225851907352, 126.9528019847456 37.60269470558269, 126.9528819566848 37.60278965850004, 126.9530121446462 37.602868930049, 126.9530814529544 37.60291113744483, 126.9532010847255 37.6030119658938, 126.9532648304203 37.60320266846133, 126.9535126620146 37.60426514533311, 126.9535364786087 37.60449397067246, 126.9535404349719 37.60457416229261, 126.9535426442699 37.60461905925903, 126.953437334822 37.60517402329219, 126.9533763212498 37.6053662840508, 126.9538575842548 37.60493035368017, 126.9540100545531 37.60480149063461, 126.9542380032758 37.60471241099108, 126.9546270514898 37.60457224932783, 126.9581544264826 37.60353167478217, 126.9582492303035 37.6035422509929, 126.9584235828031 37.60361741180495, 126.95862521702 37.60373776453215, 126.9587296584249 37.60380561788103, 126.9590944957997 37.60473815075263, 126.9600118783464 37.60585550704165, 126.9610705527937 37.60696894061422, 126.9615347874872 37.60705899444456, 126.9616380708158 37.60677892266332, 126.9616586978001 37.6067134631965, 126.961671405343 37.60667316816799, 126.9616960318471 37.60659666659296, 126.9617586581308 37.60645386449439, 126.9617733103506 37.60642370037181, 126.9618290959387 37.60630884463055, 126.9618894176468 37.60619194547464, 126.9619741460744 37.6060289638724, 126.962100387976 37.60580420428451, 126.9622284450716 37.60562226648509, 126.9626983832081 37.60506444928858, 126.9631591978859 37.60418517062339, 126.9632554840232 37.60400227591072, 126.9643317341468 37.60331200595572, 126.965664035225 37.6013700234922, 126.9661603032953 37.60088441844237, 126.9666112445109 37.60059802814503, 126.9671458641199 37.60029286042908, 126.9732954893539 37.59882077525424, 126.974103060069 37.59797156471124, 126.9741868934009 37.59760901381421, 126.9736751508933 37.59710436897586, 126.9738289453371 37.59702952225648, 126.9740055108748 37.5969436001788, 126.9758511377569 37.59656422224408)))"
3,서울특별시,종로구,평창동,11110560,18830,8817,10013,"MULTIPOLYGON (((126.9750746678809 37.63138628651299, 126.9764855443147 37.63008899733446, 126.9763545802853 37.629271579388, 126.9766720613351 37.6288448527654, 126.9782133569714 37.62843593611979, 126.9795240353134 37.62920222934059, 126.9800923123734 37.62927233505252, 126.980508194942 37.62905446496831, 126.9804968759252 37.62864543417669, 126.9801329740683 37.6283510868893, 126.9796664572043 37.62797478525102, 126.9794835037773 37.62716032283384, 126.9794377030683 37.62695639142638, 126.9792086885588 37.62457121153248, 126.9801711110254 37.6235525673367, 126.9808700629808 37.62275225912288, 126.9813736137946 37.62173377522717, 126.9820844977698 37.61992295343913, 126.9818005329071 37.61930541628534, 126.982019193894 37.61871274006239, 126.9828058746508 37.6166936891581, 126.983243293835 37.61631929720404, 126.9839756453184 37.61610167384227, 126.9845404034313 37.61587165062719, 126.9853413218618 37.61554542739916, 126.9866970327305 37.61468379283731, 126.987068092777 37.61355197137193, 126.9869596606811 37.61057482215976, 126.9867716987864 37.61040105655533, 126.9862714844579 37.60993863667942, 126.9859989142313 37.60879838063664, 126.9859737283335 37.60837689415818, 126.9859576470348 37.60810754856134, 126.9859006036692 37.60713611432764, 126.9861944053272 37.60627838883232, 126.9865892817783 37.60512555693499, 126.9877411917167 37.60121553576545, 126.9863746854395 37.60007953917753, 126.9849085265396 37.59943882994709, 126.9828973735987 37.59939269279064, 126.9827239066743 37.59938871484209, 126.9826736950306 37.59937835556374, 126.9822275986892 37.59928401269243, 126.98156656448 37.59914365527767, 126.9815664510535 37.59803838498007, 126.981566847345 37.59716526193013, 126.9820114258903 37.59584331683295, 126.9821934238158 37.59563342662802, 126.9823501148414 37.59545290805665, 126.9826523154141 37.59510477354859, 126.982689386493 37.5950655194224, 126.9810580876733 37.59506510110588, 126.9758511377569 37.59656422224408, 126.9740055108748 37.5969436001788, 126.9738289453371 37.59702952225648, 126.9736751508933 37.59710436897586, 126.9741868934009 37.59760901381421, 126.974103060069 37.59797156471124, 126.9732954893539 37.59882077525424, 126.9671458641199 37.60029286042908, 126.9666112445109 37.60059802814503, 126.9661603032953 37.60088441844237, 126.965664035225 37.6013700234922, 126.9643317341468 37.60331200595572, 126.9632554840232 37.60400227591072, 126.9631591978859 37.60418517062339, 126.9626983832081 37.60506444928858, 126.9622284450716 37.60562226648509, 126.962100387976 37.60580420428451, 126.9619741460744 37.6060289638724, 126.9618894176468 37.60619194547464, 126.9618290959387 37.60630884463055, 126.9617733103506 37.60642370037181, 126.9617586581308 37.60645386449439, 126.9616960318471 37.60659666659296, 126.961671405343 37.60667316816799, 126.9616586978001 37.6067134631965, 126.9616380708158 37.60677892266332, 126.9615347874872 37.60705899444456, 126.9610705527937 37.60696894061422, 126.9600118783464 37.60585550704165, 126.9590944957997 37.60473815075263, 126.9587296584249 37.60380561788103, 126.95862521702 37.60373776453215, 126.9584235828031 37.60361741180495, 126.9582492303035 37.6035422509929, 126.9581544264826 37.60353167478217, 126.9546270514898 37.60457224932783, 126.9542380032758 37.60471241099108, 126.9540100545531 37.60480149063461, 126.9538575842548 37.60493035368017, 126.9533763212498 37.6053662840508, 126.9531212637721 37.6055973155072, 126.9507368785767 37.60832020359569, 126.9503770463146 37.6078785962168, 126.9499832328689 37.60970523279793, 126.950633816386 37.61096446042617, 126.9508466123509 37.61180036113672, 126.9509366778276 37.61235961031377, 126.9506921956554 37.61488672553985, 126.9503962440484 37.61612806862719, 126.9503316426087 37.61836196031351, 126.9512409857418 37.62279288595064, 126.9517163396734 37.62432855049023, 126.9521716017255 37.62482296632809, 126.9523509742518 37.62489477927635, 126.9531783556529 37.6251667633698, 126.9567529613507 37.62536579675913, 126.9574769848946 37.62617486919115, 126.9595422280759 37.62848258383033, 126.9623416153841 37.62885027553708, 126.9676293401856 37.62980938922137, 126.9683419758299 37.62998532567903, 126.9688193458448 37.63010318034924, 126.969251985821 37.63022341331835, 126.970203682826 37.63086089310856, 126.9717859078064 37.63228533903874, 126.9750746678809 37.63138628651299)))"
4,서울특별시,종로구,무악동,11110570,8745,4078,4667,"MULTIPOLYGON (((126.960673532739 37.58079784202972, 126.9628104104726 37.57944880965677, 126.962840990512 37.57666158609274, 126.9617838308504 37.57513908653102, 126.9606917293308 37.57322005562149, 126.9604145446111 37.5730298517207, 126.9595707378107 37.57296121845079, 126.9539239562055 37.57849071623524, 126.9535560166695 37.57887566580947, 126.9541617505335 37.57889874854087, 126.9548098422277 37.57892481797071, 126.954952872627 37.57893057107094, 126.9554551445703 37.57897006960425, 126.9555571096007 37.57908687190313, 126.9557464595567 37.57930378371988, 126.9557685512201 37.58002395123692, 126.9557693336816 37.5800494854105, 126.9557948399294 37.58072925682743, 126.9564576046438 37.58128325688558, 126.9570018884703 37.58158320532254, 126.9571248221667 37.58161531779484, 126.9582688263123 37.58169718780316, 126.9587770618443 37.58161817291028, 126.960673532739 37.58079784202972)))"
5,서울특별시,종로구,교남동,11110580,10779,5021,5758,"MULTIPOLYGON (((126.9690483700185 37.56819441770833, 126.9680102711992 37.5671825142215, 126.96792521742 37.567096953691, 126.9673356767295 37.56650376640693, 126.9672974662963 37.56646554636407, 126.9671930515086 37.56636085699477, 126.96713423029 37.56630119278387, 126.9671864699827 37.56625582764381, 126.9667735382637 37.56579436403002, 126.9658121875202 37.56666901462727, 126.9618982600831 37.57065058360018, 126.9595707378107 37.57296121845079, 126.9604145446111 37.5730298517207, 126.9606917293308 37.57322005562149, 126.9617838308504 37.57513908653102, 126.962840990512 37.57666158609274, 126.9630860043451 37.57648592001554, 126.963659220522 37.57517466066037, 126.9660109401843 37.57154839557748, 126.9659269982213 37.5703188056862, 126.9657285292258 37.57018393611511, 126.9660973270804 37.5698565097237, 126.9662817502448 37.5697007347987, 126.9666499598212 37.56949165520658, 126.9685449360338 37.56842767961276, 126.9690483700185 37.56819441770833)))"
6,서울특별시,종로구,가회동,11110600,4487,2090,2397,"MULTIPOLYGON (((126.9891359030894 37.59130668631862, 126.9883083676072 37.58746911903312, 126.9880308550737 37.58554745777863, 126.9888590964895 37.58549532615424, 126.9893867101198 37.58369942750756, 126.9897723578014 37.58232091100437, 126.9897738829756 37.58225342940237, 126.9893002362791 37.57738738356293, 126.9889655756444 37.57737466933165, 126.9882401215526 37.57736701979388, 126.9855331638257 37.576674025462, 126.984639624275 37.577342343203, 126.9840346953684 37.57843370671978, 126.9829917870471 37.58205705864079, 126.9828648198948 37.58260632265811, 126.982842104011 37.58271776362089, 126.982836207167 37.58285406704333, 126.9828493159274 37.58322799314752, 126.9829183865103 37.58345832694683, 126.9837142178162 37.5849704355389, 126.9844653323453 37.58537368995111, 126.9849743622865 37.58563328549674, 126.9853371000307 37.58614589012119, 126.9857901289593 37.58707512222899, 126.9859569642824 37.58741835961283, 126.9860108742373 37.58802024141448, 126.9860138742825 37.58820164992094, 126.9862100279695 37.58901596665142, 126.9878984958088 37.5905567152052, 126.9890750481001 37.59139446162827, 126.9891359030894 37.59130668631862)))"
7,서울특별시,종로구,종로1.2.3.4가동,11110615,8630,4955,3675,"MULTIPOLYGON (((126.9964997845193 37.5810225677299, 126.9964117246961 37.58064588042269, 126.9966066390461 37.57934539433619, 126.9967579648929 37.5784221603199, 126.9971834726848 37.57693224535312, 126.9996776527815 37.57589728327856, 126.9993793519349 37.57583855688933, 126.9979692400431 37.57429921172459, 126.9979943203116 37.57403085957762, 126.9980561291264 37.57378124935038, 127.0004717112305 37.57075330633563, 127.0008320293041 37.57038820483153, 127.0008997394915 37.57031974086679, 127.0016222491592 37.56959157448218, 126.9983491068369 37.56895088287298, 126.9982973899722 37.56894091593279, 126.9979240697465 37.56888637378169, 126.9969766239248 37.56874939188403, 126.9967966683521 37.56872389200475, 126.9966966265454 37.56870989125176, 126.9908687824506 37.56824324248878, 126.9905920323297 37.56822401178576, 126.9895162417321 37.56814951948801, 126.9888983161631 37.5681085386568, 126.9868611882065 37.5682011032103, 126.986787299905 37.56820459472246, 126.9865992431933 37.56821348455564, 126.9857170061534 37.56837639374081, 126.984422328848 37.56861523785879, 126.9839702953816 37.56868762394625, 126.9827318096513 37.56888500509863, 126.9826921386665 37.56889046468609, 126.9778027177905 37.56924975808179, 126.9775840824726 37.56924090399486, 126.9770344988775 37.56919453005455, 126.9768888427482 37.57565077944879, 126.9795924891094 37.57597727455634, 126.9798390360508 37.57594335383953, 126.9831466523919 37.57552636292861, 126.9843447886809 37.5760645251064, 126.984948844183 37.57633588036589, 126.9855331638257 37.576674025462, 126.9882401215526 37.57736701979388, 126.9889655756444 37.57737466933165, 126.9893002362791 37.57738738356293, 126.9897738829756 37.58225342940237, 126.9897723578014 37.58232091100437, 126.9893867101198 37.58369942750756, 126.9888590964895 37.58549532615424, 126.9880308550737 37.58554745777863, 126.9883083676072 37.58746911903312, 126.9884303806787 37.58742234537463, 126.9892992556181 37.58727963952128, 126.9912991408195 37.58706519278284, 126.9922915706435 37.58719562326232, 126.9932892834612 37.58692953701408, 126.9958742834118 37.58350761039735, 126.9960279551438 37.58328743710543, 126.9962654637042 37.58270708341522, 126.9965420858462 37.58157369542727, 126.9964997845193 37.5810225677299)))"
8,서울특별시,종로구,종로5.6가동,11110630,5717,3142,2575,"MULTIPOLYGON (((127.0101604483956 37.57156810157083, 127.0095852321692 37.56978378493083, 127.0066836099916 37.5696477611322, 127.0016222491592 37.56959157448218, 127.0008997394915 37.57031974086679, 127.0008320293041 37.57038820483153, 127.0004717112305 37.57075330633563, 126.9980561291264 37.57378124935038, 126.9979943203116 37.57403085957762, 126.9979692400431 37.57429921172459, 126.9993793519349 37.57583855688933, 126.9996776527815 37.57589728327856, 127.0078330634183 37.57663511179821, 127.008613988002 37.57670881432088, 127.008557539439 37.57657566769911, 127.0085045495068 37.57642911259777, 127.0084331095824 37.57623151130525, 127.0084204352058 37.57615771036203, 127.0084044778301 37.57584944651766, 127.0088361317144 37.5727393428237, 127.0097269061034 37.57149242744257, 127.0101604483956 37.57156810157083)))"
9,서울특별시,종로구,이화동,11110640,8566,3939,4627,"MULTIPOLYGON (((127.0073325396313 37.58320333921623, 127.0088413178392 37.58045263873488, 127.008613988002 37.57670881432088, 127.0078330634183 37.57663511179821, 126.9996776527815 37.57589728327856, 126.9971834726848 37.57693224535312, 126.9967579648929 37.5784221603199, 126.9966066390461 37.57934539433619, 126.9964117246961 37.58064588042269, 126.9964997845193 37.5810225677299, 126.9982302630869 37.581266540341, 127.001804621914 37.58253031283793, 127.0017211283405 37.58313363545241, 127.0027208294721 37.58372368050578, 127.0058045952615 37.5847562782827, 127.0061821953815 37.5839612948596, 127.0073325396313 37.58320333921623)))"
